POPTOT-SN-RGPHAE-2013,,13 508 715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION DE LA REGION DE DAKAR - 2013-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
ARRONDISSEMENT BABA GARAGE,22 305,22 195,44 500,22993,22880,45873,23707,23590,47298,24448,24328,48776,25217,25093,50310,26015,25886,51901,26841,26709,53550,27698,27561,55259,28585,28444,57030,29505,29359,58864,30457,30307,60765,31444,31289,62733,32466,32306,64771
CR. BABA GARAGE,7 582,8 233,15815,7816,8487,16303,8059,8751,16809,8311,9024,17335,8572,9308,17880,8843,9602,18445,9124,9907,19031,9416,10224,19639,9717,10551,20268,10030,10891,20920,10354,11242,21595,10689,11606,22295,11036,11983,23019
CR. DINGUIRAYE,4 855,4 530,9386,5005,4670,9676,5161,4815,9976,5322,4965,10288,5489,5122,10611,5663,5284,10947,5843,5451,11295,6029,5625,11655,6222,5806,12029,6423,5992,12416,6630,6186,12817,6845,6386,13232,7067,6594,13662
CR. K. SAMBA KANE,9 867,9 432,19299,10171,9723,19894,10487,10025,20512,10815,10338,21153,11155,10663,21819,11508,11000,22509,11874,11350,23224,12253,11712,23965,12645,12087,24733,13052,12476,25529,13473,12879,26353,13910,13296,27206,14362,13728,28090
ARRONDISSEMENT LAMBAYE,48 207,53205,101 412,49694,54846,104540,51238,56550,107787,52839,58318,111157,54501,60152,114653,56224,62053,118278,58011,64025,122036,59862,66069,125931,61781,68186,129966,63768,70379,134147,65827,72651,138478,67959,75005,142964,70167,77442,147608
CR. GAWANE,7 093,7 280,14373,7312,7505,14816,7539,7738,15277,7775,7980,15754,8019,8231,16250,8273,8491,16763,8536,8761,17296,8808,9040,17848,9090,9330,18420,9383,9630,19012,9686,9941,19626,10000,10263,20262,10324,10596,20920
CR. LAMBAYE,12 479,15 368,27847,12864,15842,28706,13263,16334,29598,13678,16844,30523,14108,17374,31483,14554,17923,32478,15017,18493,33510,15496,19083,34580,15993,19695,35688,16507,20328,36836,17040,20984,38025,17592,21664,39257,18164,22368,40532
CR. N’GOGOM,12 055,13 409,25464,12427,13823,26249,12813,14252,27065,13213,14698,27911,13629,15160,28789,14060,15640,29699,14507,16137,30643,14970,16652,31621,15449,17185,32634,15946,17738,33684,16461,18311,34771,16994,18904,35897,17546,19518,37064
CR. REFANE,16 579,17 148,33727,17091,17677,34767,17622,18226,35847,18173,18796,36968,18744,19387,38130,19337,20000,39336,19951,20635,40586,20588,21294,41881,21248,21976,43223,21931,22683,44614,22639,23416,46054,23373,24174,47546,24132,24960,49091
ARRONDISSEMENT NGOYE,61 461,63 196,124 657,63357,65145,128502,65325,67169,132494,67367,69269,136636,69486,71447,140933,71683,73706,145389,73960,76048,150008,76321,78475,154796,78766,80990,159756,81300,83595,164895,83925,86294,170219,86644,89090,175733,89458,91984,181442
CR. DANGALMA,15 485,17 155,32640,15963,17684,33647,16459,18233,34692,16973,18803,35776,17507,19394,36902,18060,20008,38068,18634,20643,39278,19229,21302,40532,19845,21985,41830,20483,22692,43176,21145,23424,44570,21830,24183,46014,22539,24969,47509
CR. N’DONDOL,12 278,12 069,24347,12657,12441,25098,13050,12827,25878,13458,13228,26687,13881,13644,27526,14320,14076,28396,14775,14523,29298,15247,14986,30234,15735,15467,31202,16241,15964,32206,16766,16480,33246,17309,17013,34323,17871,17566,35438
CR. N’GOYE,22 864,23 312,46176,23569,24031,47600,24301,24777,49079,25061,25552,50613,25849,26356,52205,26666,27189,53856,27513,28053,55567,28392,28948,57340,29301,29876,59178,30244,30837,61081,31220,31832,63053,32232,32863,65096,33279,33931,67211
CR. THIAKAR,10 835,10 661,21495,11169,10989,22158,11516,11331,22846,11876,11685,23561,12249,12052,24301,12637,12434,25070,13038,12829,25866,13454,13238,26692,13885,13662,27547,14332,14102,28433,14795,14557,29351,15274,15029,30302,15770,15517,31287
DEPARTEMENT DIOURBEL,132 062,136 152,268 215,136136,140352,276489,140365,144711,285076,144753,149236,293989,149305,153929,303234,154026,158796,312822,158920,163841,322762,163992,169071,333063,169247,174488,343736,174691,180101,354793,180331,185916,366247,186173,191938,378112,192221,198174,390396
Commune de DIOURBEL,64 334,69 371,133706,66319,71511,137830,68379,73732,142111,70517,76037,146554,72734,78429,151163,75034,80908,155943,77418,83479,160898,79889,86143,166033,82449,88904,171353,85101,91764,176865,87848,94726,182575,90694,97795,188490,93641,100972,194613
ARRONDISSEMENT NDINDY,24327,23653,47980,25077,24383,49460,25856,25140,50996,26665,25926,52591,27503,26741,54244,28373,27587,55960,29274,28463,57738,30209,29372,59580,31177,30313,61490,32180,31288,63468,33218,32298,65517,34295,33344,67639,35409,34428,69836
CR. DANKH SENE,4 814,4 817,9630,4962,4965,9927,5116,5119,10235,5276,5279,10555,5442,5445,10887,5614,5618,11232,5793,5796,11588,5978,5981,11958,6169,6173,12341,6368,6371,12738,6573,6577,13150,6786,6790,13576,7007,7011,14017
CR. GADE ESCALE,1 659,1 582,3240,1710,1631,3340,1763,1681,3444,1818,1734,3551,1875,1788,3663,1934,1845,3779,1996,1903,3899,2060,1964,4023,2126,2027,4152,2194,2092,4286,2265,2160,4424,2338,2230,4568,2414,2302,4716
CR. N’DINDY,7 341,6 856,14197,7567,7067,14635,7802,7287,15089,8046,7514,15561,8299,7751,16051,8562,7996,16558,8834,8250,17084,9116,8513,17629,9408,8786,18194,9711,9069,18780,10024,9361,19386,10349,9665,20014,10685,9979,20664
CR. KEUR N’GALGOU,3 673,3 541,7214,3786,3651,7437,3903,3764,7668,4025,3882,7907,4152,4004,8156,4283,4130,8414,4419,4262,8681,4561,4398,8958,4707,4539,9245,4858,4685,9543,5015,4836,9851,5177,4993,10170,5346,5155,10500
CR. TAIBA MOUTOUPHA,5 158,5 225,10382,5317,5386,10702,5482,5553,11035,5653,5727,11380,5831,5907,11738,6015,6094,12109,6206,6287,12493,6405,6488,12892,6610,6696,13305,6822,6911,13733,7043,7135,14177,7271,7366,14636,7507,7605,15111
CR. TOUBA LAPPE,1 684,1 633,3317,1736,1683,3419,1790,1736,3526,1846,1790,3636,1904,1846,3750,1964,1905,3869,2026,1965,3992,2091,2028,4119,2158,2093,4251,2228,2160,4388,2299,2230,4529,2374,2302,4676,2451,2377,4828
ARRONDISSEMENT NDOULO,43400,43128,86528,44739,44458,89197,46128,45839,91968,47570,47272,94843,49066,48759,97825,50618,50301,100918,52226,51899,104125,53893,53555,107448,55620,55271,110891,57409,57049,114459,59263,58891,118154,61182,60799,121981,63170,62774,125944
CR. N’DOULO,6 065,6 085,12149,6252,6272,12524,6446,6467,12913,6647,6669,13316,6856,6879,13735,7073,7097,14169,7298,7322,14620,7531,7556,15086,7772,7798,15570,8022,8049,16071,8281,8309,16589,8550,8578,17127,8827,8857,17683
CR. N’GOHE,14 849,15 341,30190,15307,15814,31121,15783,16305,32088,16276,16815,33091,16788,17344,34132,17319,17892,35211,17869,18461,36330,18439,19050,37489,19030,19660,38691,19642,20293,39935,20277,20948,41224,20933,21626,42560,21613,22329,43943
CR. PATAR,8 738,8 334,17072,9007,8591,17599,9287,8858,18145,9577,9135,18713,9879,9422,19301,10191,9720,19911,10515,10029,20544,10850,10349,21200,11198,10681,21879,11558,11024,22583,11931,11380,23312,12318,11749,24067,12718,12131,24849
CR. TOCKY GARE,7 624,7 103,14726,7859,7322,15180,8103,7549,15652,8356,7785,16141,8619,8030,16649,8892,8284,17175,9174,8547,17721,9467,8820,18286,9770,9102,18872,10085,9395,19479,10410,9698,20108,10747,10013,20760,11097,10338,21434
CR. TOURE M’BONDE,6 125,6 266,12391,6314,6459,12773,6510,6660,13170,6713,6868,13582,6925,7084,14009,7144,7308,14452,7371,7540,14911,7606,7781,15387,7849,8030,15880,8102,8288,16391,8364,8556,16920,8634,8833,17468,8915,9120,18035
DEPARTEMENT MBACKE,438 848,490915,929 764,452385,506058,958444,466436,521777,988214,481018,538088,1019108,496145,555010,1051157,511833,572559,1084393,528096,590752,1118849,544951,609606,1154558,562413,629141,1191556,580504,649378,1229884,599246,670343,1269590,618659,692059,1310720,638757,714543,1353301
Commune de MBACKE,36 254,41 001,77256,37372,42266,79639,38533,43579,82113,39738,44941,84680,40987,46354,87343,42283,47820,90104,43627,49339,92967,45019,50914,95935,46462,52546,99009,47957,54236,102194,49505,55987,105493,51109,57800,108910,52769,59678,112449
ARRONDISSEMENT KAEL,21 421,18 990,40 411,22082,19576,41658,22768,20184,42951,23479,20815,44294,24218,21469,45687,24984,22148,47132,25777,22852,48629,26600,23581,50181,27452,24337,51789,28336,25120,53455,29250,25931,55181,30198,26771,56969,31179,27641,58820
CR. DENDEYE GOUYE GUI,2 790,2 580,5370,2876,2660,5536,2965,2742,5708,3058,2828,5886,3154,2917,6071,3254,3009,6263,3357,3105,6462,3464,3204,6668,3575,3307,6882,3690,3413,7103,3809,3523,7333,3933,3637,7570,4061,3755,7816
CR. DAROU SALAM TYP,2 899,2 623,5522,2989,2704,5692,3081,2788,5869,3178,2875,6053,3278,2966,6243,3381,3060,6440,3489,3157,6645,3600,3258,6857,3715,3362,7077,3835,3470,7304,3959,3582,7540,4087,3698,7785,4220,3818,8037
CR. KAEL,2 783,2 630,5413,2869,2711,5580,2958,2795,5753,3050,2883,5933,3146,2974,6120,3246,3068,6313,3349,3165,6514,3456,3266,6722,3566,3371,6937,3681,3479,7160,3800,3591,7391,3923,3708,7631,4051,3828,7879
CR. MADINA,2 971,2 659,5630,3063,2741,5804,3158,2826,5984,3256,2915,6171,3359,3006,6365,3465,3101,6566,3575,3200,6775,3689,3302,6991,3807,3408,7215,3930,3517,7447,4057,3631,7688,4188,3749,7937,4324,3870,8195
CR. N’DIOUMANE T. THIEKENE,2 288,1 935,4223,2358,1994,4353,2432,2056,4488,2508,2121,4629,2586,2187,4774,2668,2257,4925,2753,2328,5082,2841,2403,5244,2932,2480,5412,3026,2559,5586,3124,2642,5766,3225,2728,5953,3330,2816,6147
CR. TOUBA M’BOUL,5 482,4 674,10157,5651,4819,10470,5827,4968,10796,6009,5124,11133,6198,5285,11483,6394,5452,11846,6597,5625,12223,6808,5805,12613,7026,5991,13017,7252,6183,13436,7486,6383,13869,7729,6590,14319,7980,6804,14784
CR. DAROU NAHIM,1 304,1 054,2358,1344,1087,2431,1386,1120,2506,1429,1155,2585,1474,1192,2666,1521,1230,2750,1569,1269,2838,1619,1309,2928,1671,1351,3022,1725,1394,3119,1780,1439,3220,1838,1486,3324,1898,1534,3432
CR. TAIBA TIECKENE,905,833,1738,933,859,1792,962,886,1847,992,913,1905,1023,942,1965,1055,972,2027,1089,1003,2091,1123,1035,2158,1159,1068,2227,1197,1102,2299,1235,1138,2373,1275,1175,2450,1317,1213,2530
ARRONDISSEMENT NDAME,365 248,414 492,779 740,376515,427278,803793,388209,440549,828759,400346,454322,854668,412936,468609,881545,425992,483426,909418,439528,498787,938315,453556,514706,968262,468090,531200,999290,483147,548287,1031434,498745,565988,1064733,514902,584323,1099226,531630,603306,1134937
CR. DALLA N’GABOU,4 761,3 839,8600,4908,3957,8865,5061,4080,9141,5219,4207,9426,5383,4340,9723,5553,4477,10030,5730,4619,10349,5913,4767,10679,6102,4919,11021,6298,5078,11376,6502,5242,11743,6712,5411,12124,6930,5587,12518
CR. MISSIRAH,3 704,3 264,6967,3818,3364,7182,3936,3469,7405,4059,3577,7636,4187,3690,7877,4319,3806,8126,4457,3927,8384,4599,4053,8651,4746,4182,8929,4899,4317,9216,5057,4456,9513,5221,4601,9822,5391,4750,10141
CR. N’GHAYE,2 400,2 346,4746,2474,2418,4892,2551,2493,5044,2631,2571,5202,2713,2652,5366,2799,2736,5535,2888,2823,5711,2980,2913,5893,3076,3006,6082,3175,3103,6278,3277,3203,6481,3383,3307,6691,3493,3414,6908
CR. TOUBA FALL,3 307,2 807,6114,3409,2894,6303,3515,2984,6498,3625,3077,6702,3739,3174,6912,3857,3274,7131,3979,3378,7357,4106,3486,7592,4238,3597,7836,4374,3713,8088,4516,3833,8349,4662,3957,8619,4813,4086,8899
CR. TOUBA MOSQUEE,351 076,402 237,753313,361905,414645,776550,373146,427524,800670,384812,440889,825701,396913,454754,851668,409463,469133,878596,422474,484039,906514,435957,499488,935446,449927,515494,965422,464400,532076,996476,479393,549253,1028647,494923,567047,1061971,511002,585469,1096471
ARRONDISSEMENT TAIF,15 925,16 432,32 357,16416,16939,33355,16926,17465,34391,17455,18011,35466,18004,18577,36582,18573,19165,37738,19164,19774,38937,19775,20405,40180,20409,21059,41468,21065,21736,42802,21746,22438,44183,22450,23165,45615,23179,23917,47097
CR. SADIO,8 484,9 085,17570,8745,9366,18112,9017,9657,18675,9299,9959,19258,9591,10272,19864,9894,10596,20492,10209,10933,21143,10535,11282,21818,10872,11644,22517,11222,12018,23241,11584,12406,23992,11960,12808,24769,12348,13224,25574
CR. TAÏF,7 441,7 347,14788,7671,7573,15244,7909,7809,15718,8157,8053,16209,8413,8306,16719,8679,8569,17247,8955,8841,17795,9241,9123,18363,9537,9415,18952,9844,9718,19561,10161,10032,20193,10490,10357,20847,10831,10694,21524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
REGION FATICK,353717,360675,714392,365 357,372 130,737 487,377 563,384 147,761 710,390 320,396 717,787 037,403 666,409 876,813 542,417 634,423 660,841 294,432 257,438 104,870 361,447 553,453 238,900 791,463 546,469 083,932 629,480 256,485 656,965 912,497 700,502 975,1 000 675,515 892,521 055,1 036 947,534 843,539 906,1 074 749
ZONE URBAINE,53715,56774,110489,59 553,60 657,120 210,62 298,63 384,125 682,65 184,66 252,131 436,68 220,69 269,137 489,71 415,72 446,143 861,74 780,75 792,150 572,77 874,78 863,156 737,81 584,82 559,164 143,85 486,86 447,171 933,89 586,90 536,180 122,93 892,94 832,188 724,98 411,99 343,197 754
ZONE RURALE,300002,303901,603903,305 804,311 473,617 277,315 265,320 763,636 028,325 137,330 465,655 602,335 447,340 607,676 054,346 219,351 214,697 433,357 476,362 312,719 788,369 679,374 374,744 053,381 962,386 524,768 486,394 770,399 209,793 979,408 114,412 440,820 554,422 000,426 223,848 223,436 432,440 563,876 995
DEPARTEMENT FATICK,168099,171139,339238,173 534,176 671,350 205,179 234,182 474,361 708,185 193,188 541,373 734,191 430,194 891,386 321,197 960,201 539,399 499,204 800,208 502,413 302,211 960,215 792,427 752,219 451,223 419,442 871,227 283,231 392,458 675,235 463,239 720,475 183,243 998,248 410,492 407,252 893,257 465,510 358
COM. FATICK,13 993,14 283,28276,14 445,14 745,29 190,14 920,15 229,30 149,15 416,15 735,31 151,15 935,16 265,32 200,16 479,16 820,33 299,17 048,17 401,34 449,17 644,18 009,35 654,18 268,18 646,36 914,18 919,19 311,38 231,19 600,20 006,39 607,20 311,20 732,41 043,21 051,21 487,42 539
COM. DIOFIOR,5 422,5 890,11312,5 598,6 080,11 678,5 782,6 280,12 061,5 974,6 489,12 462,6 175,6 707,12 882,6 386,6 936,13 321,6 606,7 176,13 782,6 837,7 427,14 264,7 079,7 689,14 768,7 332,7 964,15 295,7 595,8 250,15 845,7 871,8 549,16 419,8 158,8 861,17 018
COM. DIAKHAO,1 995,2 403,4398,2 060,2 481,4 540,2 127,2 562,4 689,2 198,2 647,4 845,2 272,2 737,5 008,2 349,2 830,5 179,2 431,2 928,5 358,2 516,3 030,5 546,2 604,3 137,5 742,2 697,3 249,5 946,2 795,3 366,6 160,2 896,3 488,6 384,3 001,3 615,6 616
ARRONDISSEMENT NDIOB,34259,34666,68925,35 367,35 787,71 153,36 528,36 962,73 490,37 743,38 191,75 934,39 014,39 477,78 491,40 345,40 824,81 169,41 739,42 234,83 973,43 198,43 711,86 909,44 725,45 256,89 981,46 321,46 871,93 192,47 988,48 558,96 546,49 727,50 318,100 045,51 540,52 152,103 692
CR. DIAOULE,6 142,6 444,12587,6 340,6 652,12 994,6 549,6 871,13 421,6 766,7 099,13 867,6 994,7 338,14 334,7 233,7 588,14 823,7 483,7 851,15 335,7 744,8 125,15 871,8 018,8 412,16 432,8 304,8 712,17 019,8 603,9 026,17 631,8 915,9 353,18 270,9 240,9 694,18 936
CR. MBELACADIAO,8 025,8 153,16178,8 285,8 416,16 701,8 557,8 693,17 250,8 841,8 982,17 823,9 139,9 284,18 423,9 451,9 601,19 052,9 777,9 933,19 710,10 119,10 280,20 399,10 477,10 643,21 120,10 851,11 023,21 874,11 241,11 420,22 661,11 649,11 834,23 483,12 073,12 265,24 339
CR. NDIOB,9 500,9 528,19028,9 807,9 836,19 643,10 129,10 159,20 288,10 466,10 497,20 963,10 818,10 851,21 669,11 187,11 221,22 408,11 574,11 609,23 182,11 978,12 014,23 993,12 402,12 439,24 841,12 844,12 883,25 727,13 306,13 347,26 653,13 789,13 830,27 619,14 291,14 335,28 626
CR. THIARE NDIALGUI,10 592,10 541,21133,10 935,10 882,21 816,11 294,11 240,22 533,11 669,11 613,23 282,12 062,12 004,24 066,12 474,12 414,24 887,12 905,12 843,25 747,13 356,13 292,26 647,13 828,13 762,27 589,14 321,14 253,28 573,14 837,14 766,29 602,15 375,15 301,30 675,15 935,15 859,31 793
ARRONDISSEMENT FIMELA,33112,31483,64595,34 182,32 501,66 683,35 305,33 568,68 873,36 479,34 684,71 164,37 708,35 853,73 560,38 994,37 076,76 069,40 341,38 356,78 698,41 752,39 698,81 449,43 227,41 101,84 328,44 770,42 567,87 337,46 381,44 099,90 481,48 062,45 698,93 760,49 815,47 364,97 178
CR. FIMELA,12 536,12 693,25228,12 941,13 103,26 044,13 366,13 533,26 899,13 811,13 983,27 793,14 276,14 454,28 729,14 763,14 947,29 709,15 273,15 464,30 736,15 807,16 004,31 810,16 365,16 570,32 935,16 949,17 161,34 110,17 559,17 779,35 338,18 196,18 424,36 619,18 859,19 095,37 954
CR. LOUL-SESSENE,10 327,10 014,20340,10 660,10 337,20 998,11 011,10 677,21 687,11 377,11 032,22 408,11 760,11 404,23 163,12 161,11 793,23 953,12 581,12 200,24 781,13 021,12 627,25 647,13 481,13 073,26 554,13 962,13 539,27 501,14 465,14 027,28 491,14 989,14 535,29 524,15 535,15 065,30 600
CR. PALMARIN FACAO,5 277,4 046,9323,5 448,4 177,9 624,5 626,4 314,9 941,5 814,4 457,10 271,6 009,4 608,10 617,6 214,4 765,10 979,6 429,4 929,11 358,6 654,5 102,11 756,6 889,5 282,12 171,7 135,5 471,12 605,7 392,5 667,13 059,7 659,5 873,13 532,7 939,6 087,14 026
CR. DJILASSE,4 973,4 730,9703,5 133,4 883,10 017,5 302,5 043,10 346,5 478,5 211,10 690,5 663,5 387,11 050,5 856,5 570,11 427,6 058,5 763,11 821,6 270,5 964,12 235,6 492,6 175,12 667,6 723,6 396,13 119,6 965,6 626,13 591,7 218,6 866,14 084,7 481,7 116,14 597
ARONDISSEMENT NIAKHAR,37933,39851,77784,39 159,41 139,80 299,40 446,42 491,82 936,41 790,43 903,85 694,43 198,45 382,88 580,44 671,46 930,91 601,46 215,48 551,94 766,47 830,50 249,98 079,49 521,52 025,101 546,51 288,53 882,105 170,53 134,55 821,108 955,55 060,57 844,112 904,57 067,59 953,117 020
CR. NGAYOKHEME,11 539,12 473,24012,11 912,12 876,24 788,12 304,13 299,25 602,12 713,13 742,26 454,13 141,14 204,27 345,13 589,14 689,28 277,14 059,15 196,29 254,14 550,15 728,30 277,15 064,16 284,31 347,15 602,16 865,32 466,16 163,17 472,33 634,16 749,18 105,34 854,17 360,18 765,36 124
CR. NIAKHAR,13 907,14 638,28545,14 356,15 112,29 468,14 828,15 608,30 436,15 321,16 127,31 448,15 837,16 670,32 507,16 377,17 239,33 616,16 943,17 834,34 777,17 535,18 458,35 993,18 155,19 110,37 265,18 803,19 792,38 595,19 480,20 505,39 984,20 186,21 248,41 433,20 922,22 022,42 944
CR. PATAR,12 486,12 740,25226,12 890,13 151,26 042,13 314,13 583,26 897,13 756,14 035,27 791,14 219,14 508,28 727,14 705,15 003,29 707,15 213,15 521,30 733,15 744,16 064,31 808,16 301,16 631,32 932,16 883,17 225,34 107,17 490,17 845,35 335,18 124,18 492,36 616,18 785,19 166,37 951
ARONDISSEMENT TATTAGUINE,41385,42563,83948,42 723,43 939,86 662,44 126,45 382,89 508,45 593,46 891,92 484,47 129,48 470,95 599,48 736,50 124,98 860,50 420,51 856,102 276,52 183,53 669,105 852,54 028,55 565,109 593,55 956,57 548,113 504,57 969,59 620,117 589,60 071,61 781,121 851,62 261,64 033,126 293
CR. DIARERE,14 745,15 492,30238,15 222,15 993,31 216,15 722,16 518,32 241,16 244,17 068,33 313,16 791,17 643,34 435,17 364,18 244,35 609,17 964,18 875,36 840,18 592,19 535,38 128,19 249,20 225,39 475,19 936,20 947,40 884,20 654,21 701,42 355,21 402,22 487,43 891,22 183,23 307,45 491
CR. DIOUROUP,11 316,11 897,23213,11 682,12 282,23 963,12 065,12 685,24 751,12 467,13 107,25 573,12 886,13 548,26 435,13 326,14 010,27 336,13 786,14 494,28 281,14 268,15 001,29 270,14 773,15 531,30 304,15 300,16 086,31 386,15 851,16 665,32 515,16 425,17 269,33 694,17 024,17 898,34 922
CR. TATTAGUINE,15 325,15 174,30499,15 820,15 664,31 485,16 340,16 179,32 519,16 883,16 717,33 600,17 452,17 280,34 732,18 047,17 869,35 917,18 670,18 486,37 158,19 323,19 133,38 457,20 006,19 809,39 816,20 720,20 516,41 237,21 466,21 254,42 721,22 244,22 025,44 270,23 055,22 828,45 883
DEPARTEMENT FOUNDIOUGNE,137 294,142142,279436,141 732,146 737,288 470,146 388,151 557,297 945,151 255,156 596,307 851,156 349,161 870,318 219,161 682,167 392,329 074,167 269,173 175,340 444,173 117,179 230,352 346,179 235,185 564,364 800,185 632,192 187,377 819,192 313,199 103,391 416,199 284,206 321,405 604,206 548,213 842,420 390
COM. FOUNDIOUGNE,3 433,3 388,6822,3 544,3 498,7 043,3 661,3 613,7 274,3 782,3 733,7 516,3 910,3 859,7 769,4 043,3 990,8 034,4 183,4 128,8 311,4 329,4 273,8 602,4 482,4 424,8 906,4 642,4 581,9 224,4 809,4 746,9 556,4 983,4 918,9 902,5 165,5 098,10 263
COM. SOKONE,6 935,7 810,14745,7 159,8 062,15 222,7 394,8 327,15 722,7 640,8 604,16 244,7 898,8 894,16 791,8 167,9 197,17 364,8 449,9 515,17 964,8 745,9 847,18 592,9 054,10 195,19 249,9 377,10 559,19 936,9 714,10 939,20 654,10 066,11 336,21 403,10 433,11 749,22 183
COM. PASSY,5 868,6 703,12571,6 058,6 920,12 977,6 257,7 147,13 404,6 465,7 384,13 849,6 683,7 633,14 316,6 911,7 894,14 804,7 149,8 166,15 316,7 399,8 452,15 851,7 661,8 751,16 411,7 934,9 063,16 997,8 220,9 389,17 609,8 518,9 729,18 247,8 828,10 084,18 912
COM. KARANG POSTE,7 735,6 889,14624,7 985,7 112,15 097,8 247,7 346,15 593,8 521,7 590,16 111,8 808,7 845,16 654,9 109,8 113,17 222,9 423,8 393,17 817,9 753,8 687,18 440,10 097,8 994,19 091,10 458,9 315,19 773,10 834,9 650,20 484,11 227,10 000,21 227,11 636,10 364,22 001
COM. SOUM,2 365,2 679,5044,2 441,2 765,5 207,2 522,2 856,5 378,2 605,2 951,5 557,2 693,3 051,5 744,2 785,3 155,5 940,2 881,3 264,6 145,2 982,3 378,6 360,3 087,3 497,6 585,3 198,3 622,6 820,3 313,3 752,7 065,3 433,3 888,7 321,3 558,4 030,7 588
ARONDISSEMENT DJILOR,38858,40275,79133,40 114,41 577,81 691,41 432,42 943,84 374,42 809,44 370,87 180,44 251,45 865,90 116,45 761,47 429,93 190,47 342,49 068,96 410,48 997,50 784,99 780,50 729,52 578,103 307,52 539,54 455,106 994,54 430,56 415,110 844,56 403,58 460,114 862,58 459,60 591,119 050
CR. DJILOR,9 921,9 811,19732,10 242,10 128,20 370,10 578,10 461,21 039,10 930,10 808,21 739,11 298,11 172,22 471,11 683,11 554,23 237,12 087,11 953,24 040,12 509,12 371,24 880,12 952,12 808,25 760,13 414,13 265,26 679,13 896,13 742,27 639,14 400,14 240,28 641,14 925,14 760,29 685
CR. DIOSSONG,11 387,11 974,23361,11 755,12 361,24 116,12 142,12 767,24 908,12 545,13 192,25 737,12 968,13 636,26 603,13 410,14 101,27 511,13 873,14 588,28 461,14 358,15 098,29 456,14 866,15 632,30 497,15 397,16 190,31 586,15 951,16 773,32 723,16 529,17 381,33 909,17 131,18 014,35 145
CR. DIAGANE BARKA,4 705,5 058,9763,4 857,5 221,10 079,5 017,5 393,10 410,5 183,5 572,10 756,5 358,5 759,11 118,5 541,5 956,11 497,5 732,6 162,11 894,5 933,6 377,12 310,6 142,6 603,12 745,6 361,6 838,13 200,6 590,7 084,13 675,6 829,7 341,14 171,7 078,7 609,14 688
CR. MBAM,4 891,5 070,9961,5 049,5 234,10 283,5 215,5 406,10 621,5 389,5 586,10 974,5 570,5 774,11 343,5 760,5 971,11 730,5 959,6 177,12 136,6 167,6 393,12 560,6 385,6 619,13 004,6 613,6 855,13 468,6 851,7 102,13 953,7 100,7 359,14 458,7 358,7 628,14 986
CR. NIASSENE,7 953,8 362,16315,8 210,8 632,16 842,8 480,8 916,17 396,8 762,9 212,17 974,9 057,9 523,18 579,9 366,9 847,19 213,9 690,10 188,19 877,10 028,10 544,20 572,10 383,10 917,21 299,10 753,11 306,22 059,11 140,11 713,22 853,11 544,12 138,23 681,11 965,12 580,24 545
ARONDISSEMENT NIODIOR,14017,14851,28868,14 470,15 331,29 801,14 945,15 835,30 780,15 442,16 361,31 804,15 962,16 912,32 875,16 507,17 489,33 996,17 077,18 093,35 171,17 674,18 726,36 400,18 299,19 388,37 687,18 952,20 080,39 032,19 634,20 802,40 436,20 346,21 556,41 902,21 088,22 342,43 430
CR. BASSOUL,4 341,4 606,8947,4 481,4 755,9 236,4 628,4 911,9 540,4 782,5 074,9 857,4 943,5 245,10 189,5 112,5 424,10 536,5 288,5 612,10 900,5 473,5 808,11 281,5 667,6 013,11 680,5 869,6 228,12 097,6 080,6 452,12 532,6 300,6 686,12 987,6 530,6 929,13 460
CR. DIONEWAR,5 451,5 823,11274,5 627,6 011,11 638,5 812,6 208,12 021,6 005,6 415,12 420,6 208,6 631,12 839,6 419,6 857,13 277,6 641,7 094,13 735,6 873,7 342,14 216,7 116,7 601,14 718,7 370,7 873,15 243,7 635,8 156,15 792,7 912,8 452,16 364,8 201,8 760,16 961
